N,N-gram,count
6,"0,5,0,5,0,fclose",15
6,"12,12,9,5,12,12",5
6,"strstr,strrchr,5,0,5,0",6
6,"strrchr,5,0,5,0,strstr",6
6,"13,13,14,9,14,56",25
6,"strstr,strstr,strrchr,5,0,fclose",6
6,"5,0,strstr,5,0,strstr",8
6,"14,56,11,14,61,13",25
6,"102,13,13,14,9,14",5
6,"strstr,5,0,strstr,strstr,fclose",8
6,"257,5,0,5,0,5",15
6,"fclose,12,12,257,5,0",5
6,"56,11,14,61,13,13",25
6,"0,strstr,strstr,5,0,strstr",9
6,"12,257,5,0,strstr,5",7
6,"13,14,9,14,56,11",25
6,"257,12,12,257,5,0",7
6,"strstr,strstr,strrchr,5,0,5",6
6,"5,0,strstr,strstr,strrchr,fclose",6
6,"12,12,257,5,12,12",5
6,"0,strstr,5,0,strstr,5",8
6,"strstr,strrchr,5,0,strstr,strstr",6
6,"12,257,5,0,5,0",15
6,"257,5,0,strstr,strstr,5",8
6,"5,0,strstr,strstr,5,0",9
6,"12,12,5,12,12,5",6
6,"12,5,12,12,5,12",6
6,"5,12,12,5,12,12",10
6,"0,strstr,strstr,strrchr,5,0",6
6,"strstr,5,0,strstr,5,0",8
6,"9,32,72,3,1,exit",5
6,"257,5,0,strstr,5,0",7
6,"12,257,12,12,257,5",7
6,"12,12,257,12,12,257",7
6,"9,14,56,11,14,61",25
6,"0,5,0,strstr,strstr,strrchr",6
6,"5,0,strstr,strstr,strrchr,5",6
6,"41,32,72,3,1,exit",6
6,"12,12,257,5,0,5",16
6,"strstr,strstr,5,0,strstr,strstr",9
6,"11,14,61,13,13,14",25
6,"strstr,5,0,strstr,strstr,5",9
6,"5,0,5,0,strstr,strstr",6
6,"5,0,5,0,5,0",18
6,"101,101,101,101,101,101",5
6,"0,strstr,5,0,strstr,fclose",7
6,"12,12,257,5,0,strstr",9
6,"strrchr,5,0,strstr,strstr,strrchr",6
6,"0,fclose,12,12,257,5",5
6,"1,32,72,3,1,exit",9
6,"56,1,32,72,3,1",9
6,"5,0,5,0,fclose,12",5
