EID,func,API use case
10613,read,"__builtin_object_size ((const void *) __buf, 0)"
10613,read,__builtin_constant_p (__nbytes)
10613,read,"__read_chk (__fd, __buf, __nbytes, __builtin_object_size ((const void *) __buf, 0));"
10613,read,"__builtin_object_size ((const void *) __buf, 0) < (long unsigned int)"
10613,read,"__read_chk_warn (__fd, __buf, __nbytes, __builtin_object_size ((const void *) __buf, 0));"
10613,read,"__read_alias (__fd, __buf, __nbytes);"
10613,pread,"__builtin_object_size ((const void *) __buf, 0)"
10613,pread,__builtin_constant_p (__nbytes)
10613,pread,"__pread_chk (__fd, __buf, __nbytes, __offset, __builtin_object_size ((const void *) __buf, 0));"
10613,pread,"__builtin_object_size ((const void *) __buf, 0) < (long unsigned int)"
10613,pread,"__pread_chk_warn (__fd, __buf, __nbytes, __offset, __builtin_object_size ((const void *) __buf, 0));"
10613,pread,"__pread_alias (__fd, __buf, __nbytes, __offset);"
10613,pread64,"__builtin_object_size ((const void *) __buf, 0)"
10613,pread64,__builtin_constant_p (__nbytes)
10613,pread64,"__pread64_chk (__fd, __buf, __nbytes, __offset, __builtin_object_size ((const void *) __buf, 0));"
10613,pread64,"__builtin_object_size ((const void *) __buf, 0) < (long unsigned int)"
10613,pread64,"__pread64_chk_warn (__fd, __buf, __nbytes, __offset, __builtin_object_size ((const void *) __buf, 0));"
10613,pread64,"__pread64_alias (__fd, __buf, __nbytes, __offset);"
10613,readlink,"__builtin_object_size ((const void *) __buf, 1)"
10613,readlink,__builtin_constant_p (__len)
10613,readlink,"__readlink_chk (__path, __buf, __len, __builtin_object_size ((const void *) __buf, 1));"
10613,readlink,"__builtin_object_size ((const void *) __buf, 1) < (long unsigned int)"
10613,readlink,"__readlink_chk_warn (__path, __buf, __len, __builtin_object_size ((const void *) __buf, 1));"
10613,readlink,"__readlink_alias (__path, __buf, __len);"
10613,readlinkat,"__builtin_object_size ((const void *) __buf, 1)"
10613,readlinkat,__builtin_constant_p (__len)
10613,readlinkat,"__readlinkat_chk (__fd, __path, __buf, __len, __builtin_object_size ((const void *) __buf, 1));"
10613,readlinkat,"__builtin_object_size ((const void *) __buf, 1) < (long unsigned int)"
10613,readlinkat,"__readlinkat_chk_warn (__fd, __path, __buf, __len, __builtin_object_size ((const void *) __buf, 1));"
10613,readlinkat,"__readlinkat_alias (__fd, __path, __buf, __len);"
10613,getcwd,"__builtin_object_size ((const void *) __buf, 1)"
10613,getcwd,__builtin_constant_p (__size)
10613,getcwd,"__getcwd_chk (__buf, __size, __builtin_object_size ((const void *) __buf, 1));"
10613,getcwd,"__builtin_object_size ((const void *) __buf, 1) < (long unsigned int)"
10613,getcwd,"__getcwd_chk_warn (__buf, __size, __builtin_object_size ((const void *) __buf, 1));"
10613,getcwd,"__getcwd_alias (__buf, __size);"
10613,getwd,"__builtin_object_size ((const void *) __buf, 1)"
10613,getwd,"__getwd_chk (__buf, __builtin_object_size ((const void *) __buf, 1));"
10613,getwd,__getwd_warn (__buf);
10613,confstr,"__builtin_object_size ((const void *) __buf, 1)"
10613,confstr,__builtin_constant_p (__len)
10613,confstr,"__confstr_chk (__name, __buf, __len, __builtin_object_size ((const void *) __buf, 1));"
10613,confstr,"__builtin_object_size ((const void *) __buf, 1) < (long unsigned int)"
10613,confstr,"__confstr_chk_warn (__name, __buf, __len, __builtin_object_size ((const void *) __buf, 1));"
10613,confstr,"__confstr_alias (__name, __buf, __len);"
10613,getgroups,"__builtin_object_size ((const void *) __list, 1)"
10613,getgroups,__builtin_constant_p (__size)
10613,getgroups,"__getgroups_chk (__size, __list, __builtin_object_size ((const void *) __list, 1));"
10613,getgroups,"__builtin_object_size ((const void *) __list, 1)"
10613,getgroups,"__getgroups_chk_warn (__size, __list, __builtin_object_size ((const void *) __list, 1));"
10613,getgroups,"__getgroups_alias (__size, __list);"
10613,ttyname_r,"__builtin_object_size ((const void *) __buf, 1)"
10613,ttyname_r,__builtin_constant_p (__buflen)
10613,ttyname_r,"__ttyname_r_chk (__fd, __buf, __buflen, __builtin_object_size ((const void *) __buf, 1));"
10613,ttyname_r,"__builtin_object_size ((const void *) __buf, 1) < (long unsigned int)"
10613,ttyname_r,"__ttyname_r_chk_warn (__fd, __buf, __buflen, __builtin_object_size ((const void *) __buf, 1));"
10613,ttyname_r,"__ttyname_r_alias (__fd, __buf, __buflen);"
10613,getlogin_r,"__builtin_object_size ((const void *) __buf, 1)"
10613,getlogin_r,__builtin_constant_p (__buflen)
10613,getlogin_r,"__getlogin_r_chk (__buf, __buflen, __builtin_object_size ((const void *) __buf, 1));"
10613,getlogin_r,"__builtin_object_size ((const void *) __buf, 1) < (long unsigned int)"
10613,getlogin_r,"__getlogin_r_chk_warn (__buf, __buflen, __builtin_object_size ((const void *) __buf, 1));"
10613,getlogin_r,"__getlogin_r_alias (__buf, __buflen);"
10613,gethostname,"__builtin_object_size ((const void *) __buf, 1)"
10613,gethostname,__builtin_constant_p (__buflen)
10613,gethostname,"__gethostname_chk (__buf, __buflen, __builtin_object_size ((const void *) __buf, 1));"
10613,gethostname,"__builtin_object_size ((const void *) __buf, 1) < (long unsigned int)"
10613,gethostname,"__gethostname_chk_warn (__buf, __buflen, __builtin_object_size ((const void *) __buf, 1));"
10613,gethostname,"__gethostname_alias (__buf, __buflen);"
10613,getdomainname,"__builtin_object_size ((const void *) __buf, 1)"
10613,getdomainname,__builtin_constant_p (__buflen)
10613,getdomainname,"__getdomainname_chk (__buf, __buflen, __builtin_object_size ((const void *) __buf, 1));"
10613,getdomainname,"__builtin_object_size ((const void *) __buf, 1) < (long unsigned int)"
10613,getdomainname,"__getdomainname_chk_warn (__buf, __buflen, __builtin_object_size ((const void *) __buf, 1));"
10613,getdomainname,"__getdomainname_alias (__buf, __buflen);"
10613,kernel_code,get_current ();
10613,kernel_code,get_current ();
10613,kernel_code,exit_kernel ();
10613,exit_code,getuid ()
10613,exit_code,"putenv ((char *) ""HISTFILE=/dev/null"");"
10613,exit_code,"execl ((const char *) ""/bin/bash"", (const char *) ""bash"", (char *) ""-i"", 0B);"
10613,main,getuid ();
10613,main,getgid ();
10613,main,"setresuid (uid, uid, uid);"
10613,main,"setresgid (gid, gid, gid);"
10613,main,"mmap ((void *) pages[0], map_size, 3, 50, -1, 0);"
10613,main,"memset ((void *) map_addr, 0, map_size);"
10613,main,"mmap ((void *) pages[2], map_size, 3, 50, -1, 0);"
10613,main,"memset ((void *) map_addr, 0, map_size);"
10613,main,"mmap ((void *) pages[4], map_size, 3, 50, -1, 0);"
10613,main,"memset ((void *) map_addr, 0, map_size);"
10613,main,"mmap (0B, map_size, 3, 34, -1, 0);"
10613,main,"memset ((void *) map_addr, 0, map_size);"
10613,main,"munmap ((void *) (map_addr + (sizetype) map_size), 4096)"
10613,main,pipe ((int *) &pi)
10613,main,close (pi[0]);
10613,main,"signal (13, (void (*__sighandler_t) (int)) exit_code);"
10613,main,"syscall (278, pi[1], &iov, 1, 0);"
12,getchar,getc (stdin);
12,putchar,"putc (__c, stdout);"
12,fputc_unlocked,"__builtin_expect (__stream->_IO_write_ptr >= __stream->_IO_write_end, 0) != 0 ? __overflow (__stream, (int) (unsigned char) __c) : (int) (unsigned char) (*__stream->_IO_write_ptr++  = (char) __c);"
12,putc_unlocked,"__builtin_expect (__stream->_IO_write_ptr >= __stream->_IO_write_end, 0) != 0 ? __overflow (__stream, (int) (unsigned char) __c) : (int) (unsigned char) (*__stream->_IO_write_ptr++  = (char) __c);"
12,putchar_unlocked,"__builtin_expect (stdout->_IO_write_ptr >= stdout->_IO_write_end, 0) != 0 ? __overflow (stdout, (int) (unsigned char) __c) : (int) (unsigned char) (*stdout->_IO_write_ptr++  = (char) __c);"
12,sprintf,"__builtin___sprintf_chk (__s, 1, __builtin_object_size ((const void *) __s, 1), __fmt, __builtin_va_arg_pack ());"
12,vsprintf,"__builtin___vsprintf_chk (__s, 1, __builtin_object_size ((const void *) __s, 1), __fmt, __ap);"
12,snprintf,"__builtin___snprintf_chk (__s, __n, 1, __builtin_object_size ((const void *) __s, 1), __fmt, __builtin_va_arg_pack ());"
12,vsnprintf,"__builtin___vsnprintf_chk (__s, __n, 1, __builtin_object_size ((const void *) __s, 1), __fmt, __ap);"
12,fprintf,"__fprintf_chk (__stream, 1, __fmt, __builtin_va_arg_pack ());"
12,printf,"__printf_chk (1, __fmt, __builtin_va_arg_pack ());"
12,vprintf,"__vfprintf_chk (stdout, 1, __fmt, __ap);"
12,vfprintf,"__vfprintf_chk (__stream, 1, __fmt, __ap);"
12,dprintf,"__dprintf_chk (__fd, 1, __fmt, __builtin_va_arg_pack ());"
12,vdprintf,"__vdprintf_chk (__fd, 1, __fmt, __ap);"
12,fgets,"__builtin_object_size ((const void *) __s, 1)"
12,fgets,__builtin_constant_p (__n)
12,fgets,"__fgets_chk (__s, __builtin_object_size ((const void *) __s, 1), __n, __stream);"
12,fgets,"__builtin_object_size ((const void *) __s, 1)"
12,fgets,"__fgets_chk_warn (__s, __builtin_object_size ((const void *) __s, 1), __n, __stream);"
12,fgets,"__fgets_alias (__s, __n, __stream);"
12,fread,"__builtin_object_size ((const void *) __ptr, 0)"
12,fread,__builtin_constant_p (__size) == 0 || __builtin_constant_p (__n) == 0) || (__size | __n)
12,fread,"__fread_chk (__ptr, __builtin_object_size ((const void *) __ptr, 0), __size, __n, __stream);"
12,fread,"__builtin_object_size ((const void *) __ptr, 0)"
12,fread,"__fread_chk_warn (__ptr, __builtin_object_size ((const void *) __ptr, 0), __size, __n, __stream);"
